date,close,volume,open,high,low
09/04/2020, $120.96, 330512100, $120.07, $123.7, $110.89
09/03/2020, $120.88, 257599600, $126.91, $128.84, $120.5
09/02/2020, $131.4, 200119000, $137.59, $137.98, $127
09/01/2020, $134.18, 152470100, $132.76, $134.8, $130.53
08/31/2020, $129.04, 225702700, $127.58, $131, $126
08/28/2020, $124.8075, 187629920, $126.0125, $126.4425, $124.5775
08/27/2020, $125.01, 155552400, $127.1425, $127.485, $123.8325
08/26/2020, $126.5225, 163022280, $126.1793, $126.9925, $125.0825
08/25/2020, $124.825, 211495800, $124.6975, $125.1793, $123.0525
